# Метеостанция Ла-Пас / Эль-Альто (аэропорт), Боливия, WMO_ID=85201, выборка с 01.06.2018 по 01.07.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=85201&lang=ru
#
"Местное время в Ла-Пасе / Эль-Альто (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.06.2018 23:00";"3.7";"473.3";"";"0.7";"92";"Ветер, дующий с востока";"4";"";"";"70 – 80%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"60%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"2.5";"";"";"";"";"";"";
"14.06.2018 20:00";"5.2";"472.6";"";"0.7";"91";"Ветер, дующий с востока";"3";"";"";"70 – 80%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"13.3";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"3.9";"";"";"";"";"";"";
"14.06.2018 17:00";"10.2";"471.9";"";"-0.9";"55";"Ветер, дующий с севера";"5";"";"";"70 – 80%.";" ";"";"";"";"13.3";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"50%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"1.5";"";"";"";"";"";"";
"14.06.2018 14:00";"12.3";"472.8";"";"-1.2";"34";"Ветер, дующий с северо-запада";"6";"11";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-3.3";"";"";"";"";"";"";
"14.06.2018 11:00";"9.5";"474.0";"";"0.7";"51";"Ветер, дующий с северо-запада";"5";"";"";"60%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"20–30%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-0.2";"";"";"";"";"";"";
"14.06.2018 08:00";"4.2";"473.3";"";"0.5";"78";"Ветер, дующий с северо-востока";"3";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"0.8";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"0.7";"0.1";"24";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"0.0";"";"";
"14.06.2018 05:00";"1.9";"472.8";"";"-0.3";"97";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"60%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"0.6";"1.5";"";"";"";"";"";"";
"14.06.2018 02:00";"3.2";"473.1";"";"-0.4";"93";"Ветер, дующий с востоко-северо-востока";"2";"";"";"70 – 80%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"2.1";"";"";"";"";"";"";
"13.06.2018 23:00";"4.1";"473.5";"";"0.7";"93";"Ветер, дующий с востоко-юго-востока";"3";"";"";"70 – 80%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"3.1";"";"";"";"";"";"";
"13.06.2018 20:00";"4.5";"472.8";"";"0.6";"93";"Ветер, дующий с востока";"4";"";"";"70 – 80%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"11.6";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"50%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"3.5";"0.1";"6";"";"";"";"";
"13.06.2018 17:00";"10.5";"472.2";"";"-1.4";"46";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"11.6";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"40%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"20.0";"-0.6";"";"";"";"";"";"";
"13.06.2018 14:00";"8.3";"473.6";"";"-0.4";"71";"Ветер, дующий с запада";"5";"";"";"90  или более, но не 100%";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"300-600";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"15.0";"3.2";"";"";"";"";"";"";
"13.06.2018 11:00";"7.5";"474.0";"";"0.4";"75";"Ветер, дующий с запада";"5";"";"";"70 – 80%.";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"50%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"3.4";"";"";"";"";"";"";
"13.06.2018 08:00";"1.7";"473.6";"";"1.0";"97";"Ветер, дующий с запада";"3";"";"";"70 – 80%.";"Туман или ледяной туман, небо видно, начался или усилился в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"50-100";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"0.7";"1.3";"2.0";"24";"Поверхность почвы влажная.";"-4.0";"";"";
"13.06.2018 05:00";"0.6";"472.6";"";"-0.4";"99";"Ветер, дующий с востока";"3";"";"";"60%.";"Дымка. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"20–30%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"1.2";"0.5";"";"";"";"";"";"";
"13.06.2018 02:00";"1.9";"473.0";"";"-0.7";"97";"Ветер, дующий с востока";"4";"";"";"90  или более, но не 100%";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Гроза (грозы) с осадками или без них.";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"70 – 80%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"0.5";"1.5";"2.0";"6";"";"";"";"";
"12.06.2018 23:00";"1.1";"473.7";"";"1.1";"97";"Ветер, дующий с западо-юго-запада";"6";"11";"";"90  или более, но не 100%";"Дождь или морось со снегом слабые. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"50-100";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"3.0";"0.7";"";"";"";"";"";"";
"12.06.2018 20:00";"3.3";"472.6";"";"0.7";"83";"Ветер, дующий с востока";"3";"";"";"40%.";"Видна молния, грома не слышно. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"13.2";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"20–30%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"0.7";"";"";"";"";"";"";
"12.06.2018 17:00";"12.3";"471.9";"";"-0.7";"40";"Ветер, дующий с северо-запада";"4";"";"";"50%.";" ";"";"";"";"13.2";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"20–30%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-1.0";"";"";"";"";"";"";
"12.06.2018 14:00";"12.1";"472.6";"";"-1.2";"40";"Ветер, дующий с запада";"5";"";"";"40%.";" ";"";"";"";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"40%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-1.3";"";"";"";"";"";"";
"12.06.2018 11:00";"7.4";"473.8";"";"0.5";"46";"Ветер, дующий с запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-3.6";"";"";"";"";"";"";
"12.06.2018 08:00";"0.3";"473.3";"";"0.7";"68";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"-4.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-4.9";"1.0";"24";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"-5.0";"";"";
"12.06.2018 05:00";"-2.0";"472.6";"";"-0.5";"72";"Ветер, дующий с севера";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"200-300";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"15.0";"-6.4";"";"";"";"";"";"";
"12.06.2018 02:00";"-2.2";"473.1";"";"-0.3";"74";"Ветер, дующий с северо-востока";"2";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"200-300";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"-6.3";"1.0";"6";"";"";"";"";
"11.06.2018 23:00";"1.2";"473.4";"";"1.0";"65";"Переменное направление";"1";"";"";"60%.";"Видна молния, грома не слышно. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"20–30%.";"200-300";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"-4.7";"";"";"";"";"";"";
"11.06.2018 20:00";"4.8";"472.4";"";"0.8";"59";"Ветер, дующий с северо-северо-запада";"3";"";"";"60%.";"Видна молния, грома не слышно. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"10.1";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"20–30%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"-2.6";"";"";"";"";"";"";
"11.06.2018 17:00";"7.9";"471.6";"";"-1.0";"42";"Ветер, дующий с западо-северо-запада";"7";"12";"";"60%.";" ";"";"";"";"10.1";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"20–30%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-4.2";"";"";"";"";"";"";
"11.06.2018 14:00";"7.5";"472.6";"";"-1.2";"52";"Ветер, дующий с северо-запада";"6";"11";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"50%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"-1.7";"";"";"";"";"";"";
"11.06.2018 11:00";"5.6";"473.8";"";"0.7";"53";"Ветер, дующий с северо-запада";"5";"";"";"50%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"15.0";"-3.3";"";"";"";"";"";"";
"11.06.2018 08:00";"1.5";"473.1";"";"0.7";"71";"Переменное направление";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-3.2";"11.0";"24";"Поверхность почвы влажная.";"-2.0";"";"";
"11.06.2018 05:00";"0.6";"472.4";"";"-0.5";"82";"Переменное направление";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"100-200";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"-2.2";"";"";"";"";"";"";
"11.06.2018 02:00";"1.3";"472.9";"";"0.1";"86";"Переменное направление";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"-0.8";"2.0";"6";"";"";"";"";
"10.06.2018 23:00";"1.8";"472.8";"";"0.6";"90";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"10%  или менее, но не 0";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"0.3";"";"";"";"";"";"";
"10.06.2018 20:00";"2.2";"472.2";"";"1.2";"88";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"9.4";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"50-100";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"7.0";"0.4";"0.6";"6";"";"";"";"";
"10.06.2018 17:00";"8.3";"471.0";"";"-1.0";"56";"Ветер, дующий с северо-северо-запада";"4";"";"";"90  или более, но не 100%";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"9.4";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"0.0";"";"";"";"";"";"";
"10.06.2018 14:00";"7.4";"472.0";"";"-1.8";"67";"Ветер, дующий с северо-запада";"5";"";"";"70 – 80%.";"Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ";"Дождь со снегом или другими видами твердых осадков";"Дождь со снегом или другими видами твердых осадков";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"50%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"1.6";"8.0";"6";"";"";"";"";
"10.06.2018 11:00";"2.0";"473.8";"";"0.4";"93";"Ветер, дующий с северо-запада";"6";"12";"";"90  или более, но не 100%";"Осадки в поле зрения, достигающие поверхности земли или моря поблизости, но не на самой станции. ";"Дождь со снегом или другими видами твердых осадков";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"50-100";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"4.0";"1.0";"";"";"";"";"";"";
"10.06.2018 08:00";"0.8";"473.4";"";"0.9";"97";"Ветер, дующий с северо-северо-запада";"5";"";"";"100%.";"Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"0.1";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"90  или более, но не 100%";"50-100";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"3.0";"0.4";"4.0";"24";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"0.0";"";"";
"10.06.2018 05:00";"1.1";"472.5";"";"-0.9";"94";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"20–30%.";"50-100";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"15.0";"0.2";"";"";"";"";"";"";
"10.06.2018 02:00";"0.7";"473.4";"";"-0.2";"93";"Ветер, дующий с северо-запада";"5";"";"";"100%.";"Снег с перерывами умеренный в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"50-100";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-0.3";"2.0";"6";"";"";"";"";
"09.06.2018 23:00";"1.0";"473.6";"";"1.4";"87";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Дождь или морось со снегом слабые. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"6.0";"-1.0";"";"";"";"";"";"";
